issn_id,collection,subject_area
0251-3420,,Ciências Sociais Aplicadas
0252-1865,,Ciências Humanas
0252-1865,,Ciências Sociais Aplicadas
0252-8274,,Ciências Biológicas
0252-8584,,Ciências Sociais Aplicadas
0253-2948,,Ciências da Saúde
0253-5785,,Ciências Agrárias
0254-0223,,Ciências Agrárias
0254-0770,,Engenharias
0254-1637,,Ciências Humanas
0254-1637,,Ciências Sociais Aplicadas
0254-9212,,Ciências Humanas
0254-9239,,"Linguística, Letras e Artes"
0254-9239,,Ciências Humanas
0254-9247,,Ciências Humanas
0255-6952,,Engenharias
0256-0100,,Ciências Humanas
0256-7024,,Ciências Exatas e da Terra
0256-9507,,Ciências Humanas
0256-9574,,Ciências Biológicas
0256-9574,,Ciências da Saúde
0257-4314,,Ciências Sociais Aplicadas
0258-5936,,Ciências Agrárias
0258-6576,,Ciências Agrárias
0259-0190,,Ciências Humanas
0259-9422,,Ciências Humanas
0300-9041,,Ciências da Saúde
0301-5092,,Ciências Agrárias
0301-5092,,Ciências Biológicas
0301-603X,,Ciências Agrárias
0301-603X,,Ciências Biológicas
0301-696X,,Ciências da Saúde
0301-7036,,Ciências Sociais Aplicadas
0301-732X,,Ciências Agrárias
0301-8059,,Ciências Biológicas
0303-7657,,Ciências da Saúde
0304-2847,,Ciências Agrárias
0304-3584,,Ciências Biológicas
0325-0075,,Ciências da Saúde
0325-1195,,Ciências Humanas
0325-2957,,Ciências Biológicas
0325-2957,,Ciências da Saúde
0325-7541,,Ciências Biológicas
0325-8238,,Ciências Humanas
0325-8238,,Ciências Sociais Aplicadas
0327-0793,,Ciências Exatas e da Terra
0327-5094,,"Linguística, Letras e Artes"
0327-5094,,Ciências Humanas
0327-9383,,Ciências Biológicas
0327-9545,,Ciências Biológicas
0328-0381,,Ciências Biológicas
0328-1205,,"Linguística, Letras e Artes"
0328-1205,,Ciências Humanas
0328-9702,,Ciências Humanas
0365-0375,,Ciências Exatas e da Terra
0365-0596,,Ciências da Saúde
0365-2807,,Ciências Agrárias
0365-6691,,Ciências da Saúde
0365-9402,,Ciências Biológicas
0366-1644,,Ciências Exatas e da Terra
0366-2128,,Ciências Biológicas
0366-5232,,Ciências Biológicas
0366-5232,,Ciências Humanas
0366-6913,,Engenharias
0367-4762,,Ciências da Saúde
0370-3908,,Ciências Biológicas
0370-3908,,Ciências Exatas e da Terra
0370-4106,,Ciências da Saúde
0370-4467,,Engenharias
0370-5943,,Ciências Biológicas
0373-5524,,Ciências Biológicas
0373-5524,,Ciências Exatas e da Terra
0373-5680,,Ciências Biológicas
0375-1589,,Ciências Agrárias
0375-1589,,Ciências Biológicas
0376-723X,,Engenharias
0376-7892,,Ciências da Saúde
0377-9424,,Ciências Agrárias
0378-1844,,Ciências Agrárias
0378-1844,,Ciências Biológicas
0378-1844,,Ciências Exatas e da Terra
0378-1844,,Engenharias
0378-4835,,Ciências da Saúde
0378-7818,,Ciências Agrárias
0379-3982,,Engenharias
0379-4350,,Ciências Exatas e da Terra
0430-5027,,Ciências Humanas
0430-5027,,Ciências Sociais Aplicadas
0459-1283,,"Linguística, Letras e Artes"
0465-546X,,Ciências da Saúde
0482-5004,,Ciências da Saúde
0484-7903,,Ciências da Saúde
0486-6525,,Ciências Humanas
0524-9767,,Ciências Humanas
0535-5133,,Ciências Biológicas
0535-5133,,Ciências da Saúde
0568-2517,,Ciências Agrárias
